Title,recommendation
Stealth Inc 2: A Game of Clones,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Myth II: Soulblighter"
Dark Souls III: The Ringed City,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,Hyper Light Drifter,System Shock 2,Myth II: Soulblighter"
Dawn of Discovery,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Pinball FX3,"Syberia II,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Syphon Filter"
Hot Shots Golf: Open Tee 2,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Syphon Filter: Logan's Shadow"
SingStar,"Azure Striker Gunvolt: Striker Pack,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
L.A. Noire: The VR Case Files,"Myst III: Exile,Myst V: End of Ages,Syberia,Syberia II,Hyrule Warriors: Definitive Edition"
City of Villains,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Cave Story 3D,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
The Wolf Among Us: Episode 2 - Smoke and Mirrors,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Pyre,Tyranny"
Kentucky Route Zero - Act II,"Myth: The Fallen Lords,Myth II: Soulblighter,System Shock: Enhanced Edition,Pyre,EyeToy: Play"
Minecraft: Xbox 360 Edition,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Dead Space: Extraction,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Football Manager 2018,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Resident Evil: Revelations,"Tyranny,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
You Don't Know Jack,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Fortnite,"Syberia II,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Pokemon Ruby Version,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
MVP Baseball 2003,"Syphon Filter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
NHL Hitz 20-03,"Dyad,Syphon Filter: Logan's Shadow,EyeToy: Kinetic,TxK,Excitebots: Trick Racing"
Gitaroo Man,"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,MySims Agents,EyeToy: Play 2,TxK"
Theme Park Roller Coaster,"Myth: The Fallen Lords,Myth II: Soulblighter,Dynasty Tactics,Dynasty Tactics 2,Swords & Soldiers"
Dave Mirra Freestyle BMX,"Syphon Filter: Logan's Shadow,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Karaoke Revolution Volume 3,"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,MySims Agents,EyeToy: Play 2,Switchball"
Professor Layton and the Miracle Mask,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,MySims Agents"
The Pinball Arcade,"Azure Striker Gunvolt: Striker Pack,Syberia II,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow"
Monster Hunter 3 Ultimate,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Borderlands: The Handsome Collection,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Forza Horizon 2: Storm Island,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Super Stardust Delta,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Act of War: Direct Action,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter"
Madden NFL 18,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
RiME,"Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
Tekken 7,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Runbow,"Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror"
Sokobond,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Quell Memento,"Azure Striker Gunvolt: Striker Pack,MySims Agents,EyeToy: Play,EyeToy: Play 2,Switchball"
MotoHeroz,"Syphon Filter: Logan's Shadow,Dyad,Axiom Verge,Excitebike 64,Excitebots: Trick Racing"
Mario vs. Donkey Kong: Minis March Again!,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Zone of the Enders: The 2nd Runner,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock 2"
Viva Pinata: Trouble in Paradise,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Sam & Max Episode 105: Reality 2.0,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Myth II: Soulblighter"
Bejeweled 3,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,MySims Agents"
Dangerous Waters,"Myst III: Exile,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
LEGO The Lord of the Rings,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myth: The Fallen Lords,Rygar: The Legendary Adventure"
Iron Brigade,"Syphon Filter: Logan's Shadow,Syphon Filter,Syphon Filter: Dark Mirror,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
Peter Jackson's King Kong: The Official Game of the Movie,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Rygar: The Legendary Adventure"
Asheron's Call 2: Fallen Kings,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Myth II: Soulblighter"
Super Monkey Ball Jr.,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Syphon Filter: Dark Mirror"
WWE SmackDown! Shut Your Mouth,"Myth II: Soulblighter,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Gemini Rue,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Pyre"
Sonic CD,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Pro Evolution Soccer 2015,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
Dyad,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Syphon Filter,NyxQuest: Kindred Spirits"
Antichamber,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Sonic & All-Stars Racing Transformed,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Neverwinter Nights 2,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Mega Man Powered Up,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Darkstalkers Resurrection,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,Syphon Filter,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits"
Dragon Age: Origins - Awakening,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Danganronpa: Trigger Happy Havoc,"Pyre,Tyranny,Myth II: Soulblighter,NyxQuest: Kindred Spirits,System Shock 2"
Hearthstone: Blackrock Mountain,"Azure Striker Gunvolt: Striker Pack,Dynasty Tactics,Dynasty Tactics 2,Myth: The Fallen Lords,Myth II: Soulblighter"
Rome: Total War Barbarian Invasion,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Gradius V,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror"
NCAA Football 12,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Darkness,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
I Expect You To Die,"Hyper Light Drifter,Myth: The Fallen Lords,Myst III: Exile,Myst V: End of Ages,Syberia"
Etrian Odyssey 2 Untold: The Fafnir Knight,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
Disgaea DS,"Myth: The Fallen Lords,Myth II: Soulblighter,Rygar: The Legendary Adventure,Myst III: Exile,Syberia"
Lunar Knights,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter: Logan's Shadow"
Hacknet,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror"
The Walking Dead: Season Two Episode 3 - In Harm's Way,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Test Drive Unlimited,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myst III: Exile,Myth: The Fallen Lords"
Tales of Monkey Island Chapter 3: Lair of the Leviathan,"Syberia,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Logan's Shadow"
The Walking Dead: A Telltale Games Series - The Complete First Season,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Dying Light: The Following"
Blur,"Myth: The Fallen Lords,Dyad,Syphon Filter,NyxQuest: Kindred Spirits,Syphon Filter: Logan's Shadow"
FIFA 15,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Neverwinter Nights 2: Mask of The Betrayer,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Sins of a Solar Empire: Rebellion,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Broken Sword: The Sleeping Dragon,"Azure Striker Gunvolt: Striker Pack,Syphon Filter,Pyre,Tyranny,Myth: The Fallen Lords"
Age of Wonders: Shadow Magic,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
ATV Offroad Fury 2,"Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing,Twisted Metal: Black"
Mega Man Zero,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
SOCOM: U.S. Navy SEALs,"Myth II: Soulblighter,System Shock 2,Dying Light: The Following,Pyre,Syberia"
Tom Clancy's Ghost Recon: Desert Siege,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Warlords Battlecry II,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Ring of Red,"Myth II: Soulblighter,Pyre,System Shock 2,Myth: The Fallen Lords,Dynasty Tactics"
Football Manager Live,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Walking Dead: Season Two Episode 2 - A House Divided,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Talos Principle: Road To Gehenna,"Azure Striker Gunvolt: Striker Pack,Pyre,Tyranny,System Shock: Enhanced Edition,Syberia II"
Stellaris - Utopia,"Myth: The Fallen Lords,Myth II: Soulblighter,Dynasty Tactics,Dynasty Tactics 2,System Shock: Enhanced Edition"
Aquaria,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Pyre,Tyranny"
Need for Speed: Underground,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Dyad,Extreme-G"
TrackMania Sunrise,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
King's Quest Chapter 1: A Knight to Remember,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2"
Ape Escape 2,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myth: The Fallen Lords,Syphon Filter: Dark Mirror"
Viva Pinata: Pocket Paradise,"Azure Striker Gunvolt: Striker Pack,Pyre,Tyranny,EyeToy: Play,MySims Agents"
Skullgirls,"Myth II: Soulblighter,Pyre,Tyranny,NyxQuest: Kindred Spirits,Syphon Filter"
PixelJunk Shooter 2,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,Myth: The Fallen Lords,Myst III: Exile,NyxQuest: Kindred Spirits"
The Elder Scrolls V: Skyrim - Dragonborn,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Galak-Z: The Dimensional,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror,Hyper Light Drifter"
Sportsfriends,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,EyeToy: Play,MySims Agents,EyeToy: Play 2"
Dragon Age II,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
10 Second Ninja X,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Endless Legend,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Virtua Fighter 5: Final Showdown,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Syphon Filter"
Skylanders: Spyro's Adventure,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Trauma Team,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,Myth II: Soulblighter,Pyre,System Shock 2"
Henry Hatsworth in the Puzzling Adventure,"Syphon Filter: Logan's Shadow,Myst III: Exile,Myth: The Fallen Lords,NyxQuest: Kindred Spirits,Syphon Filter"
Doom,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myth: The Fallen Lords"
SOCOM 3: U.S. Navy SEALs,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Dance Dance Revolution Ultramix,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Gladius,"Dying Light: The Following,Myth II: Soulblighter,System Shock: Enhanced Edition,Myth: The Fallen Lords,Rygar: The Legendary Adventure"
Tom Clancy's Ghost Recon: Island Thunder,"Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
FIFA Soccer 2002,"Syphon Filter: Dark Mirror,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Dyad"
Extreme-G,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Dyad,Excitebike 64"
S.T.A.L.K.E.R.: Shadow of Chernobyl,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Myth II: Soulblighter"
Far Cry 5,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock 2"
Okamiden,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Space Invaders Extreme 2,"Syberia,Myth II: Soulblighter,Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow"
The Evil Within 2,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Condemned 2: Bloodshot,"System Shock 2,Syphon Filter: Dark Mirror,Dying Light: The Following,System Shock: Enhanced Edition,Rygar: The Legendary Adventure"
Kero Blaster,"Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,Myth II: Soulblighter"
Skullgirls: 2nd Encore,"Hyper Light Drifter,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Dyad,NyxQuest: Kindred Spirits"
"Invisible, Inc. Console Edition","Azure Striker Gunvolt: Striker Pack,Dynasty Tactics,Dynasty Tactics 2,Myth: The Fallen Lords,Myth II: Soulblighter"
Monday Night Combat,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,EyeToy: Play,Syphon Filter: Logan's Shadow"
The Elder Scrolls V: Skyrim Special Edition,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
VIDEOBALL,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syphon Filter,Dyad"
Gunman Clive,"Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits,Syphon Filter: Dark Mirror"
The Wolf Among Us: Episode 3 - A Crooked Mile,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
The Chronicles of Riddick: Assault on Dark Athena,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,Hyper Light Drifter,System Shock: Enhanced Edition,Syberia II"
Slime-san,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,System Shock 2"
Pro Evolution Soccer 2013,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
X-Men Legends,"EyeToy: Play,Hyper Light Drifter,Pyre,Tyranny,Dynasty Tactics"
XCOM: Enemy Unknown Plus,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Syberia II,Dynasty Tactics"
The Lord of the Rings: The Two Towers,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Dark Mirror,Myth: The Fallen Lords,Hyper Light Drifter,Dyad"
Sega GT 2002,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,Myst III: Exile"
Airborne Assault: Red Devils Over Arnhem,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Tekken Advance,"Syphon Filter,Syphon Filter: Dark Mirror,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
Crazy Taxi 2,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Fallout Tactics: Brotherhood of Steel,"System Shock 2,Hyper Light Drifter,Pyre,Tyranny,Dynasty Tactics"
Ogre Battle 64,"Syberia,System Shock: Enhanced Edition,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter"
Sonic Rush,"Azure Striker Gunvolt: Striker Pack,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
Need for Speed: Underground 2,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
The Lion's Song,"Syphon Filter: Logan's Shadow,Myth: The Fallen Lords,Myth II: Soulblighter,System Shock: Enhanced Edition,Pyre"
Art of Balance Touch!,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Syphon Filter: Dark Mirror"
NHL Eastside Hockey Manager 2005,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Legend of Grimrock,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter"
College Hoops 2K6,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Myth II: Soulblighter"
Dominions 3: The Awakening,"Dying Light: The Following,Myth: The Fallen Lords,Myth II: Soulblighter,Rygar: The Legendary Adventure,Myst III: Exile"
NyxQuest: Kindred Spirits,"Hyper Light Drifter,Syberia,Myth: The Fallen Lords,System Shock: Enhanced Edition,Syphon Filter: Logan's Shadow"
Prince of Persia Classic,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,Myth: The Fallen Lords,Myst III: Exile,Dyad"
Star Fox Adventures,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,System Shock 2"
Fallout 3: Broken Steel,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
GRID 2,"Azure Striker Gunvolt: Striker Pack,Dyad,System Shock: Enhanced Edition,Syberia II,Tyranny"
Tekken 6,"Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,System Shock 2,Pyre"
Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Mario Kart Wii,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
College Hoops 2K8,"Syberia,EyeToy: Kinetic,Swords & Soldiers,Swing Away Golf,Everybody's Golf"
Desktop Dungeons,"Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad,Syphon Filter: Logan's Shadow"
Dragon's Crown,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth: The Fallen Lords,System Shock: Enhanced Edition"
Crusader Kings II,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Art Academy: Home Studio,"Azure Striker Gunvolt: Striker Pack,EyeToy: Play,MySims Agents,EyeToy: Play 2,Switchball"
Europa 1400: The Guild,"Myth: The Fallen Lords,Myth II: Soulblighter,Dynasty Tactics,Dynasty Tactics 2,System Shock: Enhanced Edition"
V-Rally 3,"Dyad,Excitebike 64,Extreme-G,Excitebots: Trick Racing,Twisted Metal: Black"
Battle Realms,"Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits,Myth II: Soulblighter,Rygar: The Legendary Adventure"
Warlords Battlecry,"Myth: The Fallen Lords,Myth II: Soulblighter,Dynasty Tactics,Dynasty Tactics 2,System Shock: Enhanced Edition"
Shin Megami Tensei: Digital Devil Saga 2,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile,Dynasty Tactics"
Sam & Max Episode 201: Ice Station Santa,"Myst III: Exile,Syberia,Syberia II,Myst V: End of Ages,Hyrule Warriors: Definitive Edition"
Halo: Combat Evolved Anniversary,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syberia II,Tyranny,System Shock 2"
Major League Baseball 2K5,"Azure Striker Gunvolt: Striker Pack,NyxQuest: Kindred Spirits,Myth: The Fallen Lords,Hyper Light Drifter,Myst III: Exile"
SOCOM: U.S. Navy SEALs Fireteam Bravo,"Syphon Filter: Dark Mirror,Syphon Filter,Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Dynasty Warriors 3"
Semblance,"Myst V: End of Ages,Dynasty Tactics,Dynasty Warriors 3,Dynasty Warriors 4,Dynasty Tactics 2"
Art Style: ORBIENT,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter,Dyad,NyxQuest: Kindred Spirits"
Kingdom Hearts: Birth by Sleep,"Myth II: Soulblighter,System Shock 2,Dying Light: The Following,Pyre,Syberia"
The Last Guardian,"Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth II: Soulblighter,Pyre"
Technobabylon,"Syphon Filter: Dark Mirror,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Myth II: Soulblighter"
Madden NFL 09 All-Play,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Shin Megami Tensei: Nocturne,"Hyper Light Drifter,Syphon Filter,Dynasty Tactics,Pyre,Tyranny"
World of Warcraft: Mists of Pandaria,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Recettear: An Item Shop's Tale,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Harvest Moon: More Friends of Mineral Town,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Need for Speed Underground 2,"Syphon Filter: Dark Mirror,Myth II: Soulblighter,Dyad,Excitebike 64,Extreme-G"
ETHER One,"Syberia,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Myst III: Exile"
BlazBlue: Calamity Trigger Portable,"Syphon Filter: Dark Mirror,NyxQuest: Kindred Spirits,Syphon Filter,Syphon Filter: Logan's Shadow,Dynasty Warriors 3"
Midnight Club: Los Angeles,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
The Vanishing of Ethan Carter,"Azure Striker Gunvolt: Striker Pack,Hyper Light Drifter,NyxQuest: Kindred Spirits,Syberia,Pyre"
Flight Simulator X: Acceleration,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Far Cry 3: Blood Dragon,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,System Shock: Enhanced Edition,Syberia II,Tyranny"
Splatoon 2: Octo Expansion,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
Borderlands: The Zombie Island of Dr. Ned,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Etrian Odyssey II: Heroes of Lagaard,"Azure Striker Gunvolt: Striker Pack,Myth II: Soulblighter,Dying Light: The Following,System Shock: Enhanced Edition,Syberia II"
Blood,"Syberia,Myth II: Soulblighter,Myth: The Fallen Lords,System Shock: Enhanced Edition,NyxQuest: Kindred Spirits"
Duelyst,"Azure Striker Gunvolt: Striker Pack,System Shock: Enhanced Edition,Syphon Filter,Syberia II,Myth: The Fallen Lords"
Warhammer: Vermintide 2,"Azure Striker Gunvolt: Striker Pack,Myth: The Fallen Lords,Syphon Filter: Dark Mirror,Hyper Light Drifter,Dyad"
Command & Conquer: Red Alert 3,"Azure Striker Gunvolt: Striker Pack,System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre"
NCAA March Madness 2004,"Syphon Filter: Logan's Shadow,NyxQuest: Kindred Spirits,Myth II: Soulblighter,EyeToy: Kinetic,Twisted Metal: Black"
Links 2003,"System Shock 2,Myth II: Soulblighter,Dying Light: The Following,Pyre,Syberia"
Earth & Beyond,"System Shock 2,Pyre,Hyper Light Drifter,Tyranny,Dynasty Tactics"
Syberia,"Hyper Light Drifter,NyxQuest: Kindred Spirits,System Shock 2,Myth II: Soulblighter,Dying Light: The Following"
